row,stu num,riazi 1,fizik 1,mabani kamputer,riazi 2,fizik 2,ri gosaste,barname pishrafte,moadelat def,amar va eh,sakhteman dadeh,medar mantaghi,mabani fanavari,memari com,mabani e didit,o va m modiriat,os,tarahi alg,nazariye,os tarahi DB,eghtesad mohandesi,moadel-T4,sex
1,8513331010,13.25,8.5,20.0,11.75,10.0,12.5,20.0,10.0,11.75,18.5,8.5,14.75,15.75,14.0,16.5,12.0,16.2,10.75,18.0,17.8,14.42,m
2,8513331030,10.0,11.0,10.0,14.0,11.5,10.25,5.5,13.0,11.5,10.0,15.0,18.8,16.5,14.0,16.0,14.0,15.5,11.5,15.0,14.6,14.27,f
3,8513331040,14.25,12.5,15.6,15.0,16.5,14.5,11.0,18.5,16.75,14.0,15.5,18.1,17.25,18.5,16.5,16.5,18.2,19.0,14.0,16.1,16.49,f
4,8513331050,13.0,8.5,9.5,14.5,14.5,15.0,10.0,14.0,15.5,11.5,16.0,13.2,15.25,14.0,13.5,12.0,14.0,12.5,12.5,13.2,13.94,f
5,8513331060,11.0,11.25,9.9,10.0,9.75,8.0,15.2,11.5,8.0,13.0,10.0,18.85,13.0,12.0,15.5,10.5,12.0,10.0,16.5,10.0,12.8,m
6,8513331070,13.25,8.5,19.0,16.25,9.0,13.5,18.5,16.0,16.25,15.6,18.5,11.0,15.75,16.0,14.0,13.5,20.0,15.25,15.5,15.0,15.82,m
7,8513331080,13.25,13.0,12.9,13.75,12.5,13.0,6.0,14.75,15.0,8.5,14.5,17.1,16.25,11.5,14.5,13.0,15.5,12.5,17.0,15.8,14.66,f
8,8513331090,8.5,7.0,9.75,13.5,11.0,13.65,13.52,9.75,9.0,9.84,13.5,16.75,14.5,9.5,12.0,11.5,10.0,11.25,12.0,12.0,13.17,f
9,8513331090,9.0,7.0,10.0,16.0,11.0,12.5,9.0,9.0,11.5,9.0,14.0,16.75,14.5,9.5,12.0,11.5,10.0,11.25,12.0,12.0,13.04,m
10,8513331100,18.0,18.0,18.5,12.0,17.75,12.5,16.25,14.0,16.75,19.11,14.0,19.0,13.0,9.5,13.0,12.0,11.0,16.0,19.5,16.1,13.23,f
11,8513331100,14.0,9.25,9.2,13.5,13.5,11.0,9.0,8.5,11.0,11.5,12.0,12.2,13.0,9.5,13.0,12.0,11.0,16.0,19.5,16.1,13.23,f
12,8513331110,14.0,15.5,16.7,14.25,19.5,16.0,19.0,14.5,12.25,18.5,13.0,20.0,16.25,13.5,17.0,12.5,20.0,15.25,15.0,14.4,16.59,f
13,8513331120,11.25,12.5,9.8,14.5,16.75,14.25,12.8,17.0,19.0,10.0,13.0,17.3,14.0,19.0,15.5,11.5,13.5,12.0,14.5,12.2,14.56,f
14,8513331130,12.0,11.5,15.0,11.25,14.25,13.25,9.0,12.0,14.75,9.0,10.5,14.75,13.5,13.0,13.5,17.0,18.0,15.25,9.0,14.7,14.32,m
15,8513331140,11.5,9.0,9.9,11.75,12.75,12.5,20.0,11.5,11.0,10.25,19.0,14.5,18.25,12.0,14.0,16.0,17.0,15.0,18.0,14.1,14.49,m
16,8513331150,11.0,10.0,17.6,10.0,9.75,12.25,14.6,12.5,15.0,17.5,13.0,13.2,16.75,13.5,16.0,18.5,15.4,16.25,16.0,18.6,15.02,m
17,8513331160,11.0,9.0,17.2,13.5,8.0,13.25,6.5,15.25,12.5,10.0,11.0,12.9,14.0,9.5,12.5,9.75,9.75,12.0,10.0,14.0,12.94,f
18,8513331170,9.25,7.0,9.0,12.0,10.0,12.5,9.8,12.0,9.5,11.5,10.0,11.1,10.25,12.0,15.5,9.75,9.75,10.0,16.0,16.5,12.42,f
